Date,AAPL,MSFT,NVDA,GOOG,META,^GSPC
2025-10-30,271.3999938964844,525.760009765625,202.88999938964844,281.8999938964844,666.469970703125,6822.33984375
2025-10-31,270.3699951171875,517.8099975585938,202.4900054931641,281.82000732421875,648.3499755859375,6840.2001953125
2025-11-03,269.04998779296875,517.030029296875,206.8800048828125,284.1199951171875,637.7100219726562,6851.97021484375
2025-11-04,270.0400085449219,514.3300170898438,198.69000244140625,278.0599975585937,627.3200073242188,6771.5498046875
2025-11-05,270.1400146484375,507.1600036621094,195.2100067138672,284.75,635.9500122070312,6796.2900390625
2025-11-06,269.7699890136719,497.1000061035156,188.0800018310547,285.3399963378906,618.9400024414062,6720.31982421875
2025-11-07,268.4700012207031,496.8200073242188,188.1499938964844,279.70001220703125,621.7100219726562,6728.7998046875
2025-11-10,269.42999267578125,506.0,199.0500030517578,290.5899963378906,631.760009765625,6832.43017578125
2025-11-11,275.25,508.6799926757813,193.16000366210935,291.739990234375,627.0800170898438,6846.60986328125
2025-11-12,273.4700012207031,511.1400146484375,193.8000030517578,287.42999267578125,609.010009765625,6850.919921875
2025-11-13,272.95001220703125,503.2900085449219,186.8600006103516,279.1199951171875,609.8900146484375,6737.490234375
2025-11-14,272.4100036621094,510.1799926757813,190.1699981689453,276.9800109863281,609.4600219726562,6734.10986328125
2025-11-17,267.4599914550781,507.489990234375,186.6000061035156,285.6000061035156,602.010009765625,6672.41015625
2025-11-18,267.44000244140625,493.7900085449219,181.3600006103516,284.9599914550781,597.6900024414062,6617.31982421875
2025-11-19,268.5599975585937,487.1199951171875,186.5200042724609,292.989990234375,590.3200073242188,6642.16015625
2025-11-20,266.25,478.4299926757813,180.63999938964844,289.9800109863281,589.1500244140625,6538.759765625
2025-11-21,271.489990234375,472.1199951171875,178.8800048828125,299.6499938964844,594.25,6602.990234375
2025-11-24,275.9200134277344,474.0,182.5500030517578,318.4700012207031,613.0499877929688,6705.1201171875
2025-11-25,276.9700012207031,476.989990234375,177.82000732421875,323.6400146484375,636.219970703125,6765.8798828125
2025-11-26,277.54998779296875,485.5,180.25999450683597,320.2799987792969,633.6099853515625,6812.60986328125
2025-11-28,278.8500061035156,492.010009765625,177.0,320.1199951171875,647.9500122070312,6849.08984375
2025-12-01,283.1000061035156,486.739990234375,179.9199981689453,315.1199951171875,640.8699951171875,6812.6298828125
2025-12-02,286.19000244140625,490.0,181.4600067138672,316.0199890136719,647.0999755859375,6829.3701171875
2025-12-03,284.1499938964844,477.7300109863281,179.58999633789062,320.6199951171875,639.5999755859375,6849.72021484375
2025-12-04,280.70001220703125,480.8399963378906,183.3800048828125,318.3900146484375,661.530029296875,6857.1201171875
2025-12-05,278.7799987792969,483.1600036621094,182.41000366210935,322.0899963378906,673.4199829101562,6870.39990234375
2025-12-08,277.8900146484375,491.0199890136719,185.5500030517578,314.45001220703125,666.7999877929688,6846.509765625
2025-12-09,277.17999267578125,492.0199890136719,184.97000122070312,317.75,656.9600219726562,6840.509765625
2025-12-10,278.7799987792969,478.55999755859375,183.77999877929688,321.0,650.1300048828125,6886.68017578125
2025-12-11,278.0299987792969,483.4700012207031,180.92999267578125,313.70001220703125,652.7100219726562,6901.0
2025-12-12,278.2799987792969,478.5299987792969,175.02000427246094,310.5199890136719,644.22998046875,6827.41015625
2025-12-15,274.1099853515625,474.8200073242188,176.2899932861328,309.32000732421875,647.510009765625,6816.509765625
2025-12-16,274.6099853515625,476.3900146484375,177.72000122070312,307.7300109863281,657.1500244140625,6800.259765625
2025-12-17,271.8399963378906,476.1199951171875,170.94000244140625,298.0599975585937,649.5,6721.43017578125
2025-12-18,272.19000244140625,483.9800109863281,174.13999938964844,303.75,664.4500122070312,6774.759765625
2025-12-19,273.6700134277344,485.9200134277344,180.9900054931641,308.6099853515625,658.77001953125,6834.5
2025-12-22,270.9700012207031,484.9200134277344,183.69000244140625,311.3299865722656,661.5,6878.490234375
2025-12-23,272.3599853515625,486.8500061035156,189.2100067138672,315.67999267578125,664.9400024414062,6909.7900390625
2025-12-24,273.8099975585937,488.0199890136719,188.6100006103516,315.6700134277344,667.5499877929688,6932.0498046875
2025-12-26,273.3999938964844,487.7099914550781,190.52999877929688,314.9599914550781,663.2899780273438,6929.93994140625
2025-12-29,273.760009765625,487.1000061035156,188.22000122070312,314.3900146484375,658.6900024414062,6905.740234375
2025-12-30,273.0799865722656,487.4800109863281,187.5399932861328,314.54998779296875,665.9500122070312,6896.240234375
2025-12-31,271.8599853515625,483.6199951171875,186.5,313.79998779296875,660.0900268554688,6845.5
2026-01-02,271.010009765625,472.9400024414063,188.8500061035156,315.32000732421875,650.4099731445312,6858.47021484375
2026-01-05,267.260009765625,472.8500061035156,188.1199951171875,317.32000732421875,658.7899780273438,6902.0498046875
2026-01-06,262.3599853515625,478.510009765625,187.2400054931641,314.54998779296875,660.6199951171875,6944.81982421875
2026-01-07,260.3299865722656,483.4700012207031,189.1100006103516,322.42999267578125,648.6900024414062,6920.93017578125
2026-01-08,259.0400085449219,478.1099853515625,185.0399932861328,326.010009765625,646.0599975585938,6921.4599609375
2026-01-09,259.3699951171875,479.2799987792969,184.8600006103516,329.1400146484375,653.0599975585938,6966.27978515625
2026-01-12,260.25,477.1799926757813,184.94000244140625,332.7300109863281,641.969970703125,6977.27001953125
2026-01-13,261.04998779296875,470.6700134277344,185.80999755859372,336.42999267578125,631.0900268554688,6963.740234375
2026-01-14,259.9599914550781,459.3800048828125,183.13999938964844,336.3099975585937,615.52001953125,6926.60009765625
2026-01-15,258.2099914550781,456.6600036621094,187.0500030517578,333.1600036621094,620.7999877929688,6944.47021484375
2026-01-16,255.52999877929688,459.8599853515625,186.22999572753903,330.3399963378906,620.25,6940.009765625
2026-01-20,246.6999969482422,454.5199890136719,178.07000732421875,322.1600036621094,604.1199951171875,6796.85986328125
2026-01-21,247.6499938964844,444.1099853515625,183.32000732421875,328.3800048828125,612.9600219726562,6875.6201171875
2026-01-22,248.3500061035156,451.1400146484375,184.83999633789065,330.8399963378906,647.6300048828125,6913.35009765625
2026-01-23,248.0399932861328,465.9500122070313,187.6699981689453,328.42999267578125,658.760009765625,6915.60986328125
2026-01-26,255.41000366210935,470.2799987792969,186.47000122070312,333.5899963378906,672.3599853515625,6950.22998046875
2026-01-27,258.2699890136719,480.5799865722656,188.5200042724609,335.0,672.969970703125,6978.60009765625
2026-01-28,256.44000244140625,481.6300048828125,191.5200042724609,336.2799987792969,668.72998046875,6978.02978515625
2026-01-29,258.2799987792969,433.5,192.50999450683597,338.6600036621094,738.3099975585938,6969.009765625
